debank_id,defillama_id,url,logo
unicrypt,unicrypt,https://app.uncx.network,https://static.debank.com/image/project/logo_url/unicrypt/c4d5d8ccea52896af13f27746bacfdd5.png
uniswap2,uniswap-v2,https://app.uniswap.org,https://static.debank.com/image/project/logo_url/uniswap2/87a541b3b83b041c8d12119e5a0d19f0.png
uniswap3,uniswap-v3,https://app.uniswap.org,https://static.debank.com/image/project/logo_url/uniswap3/87a541b3b83b041c8d12119e5a0d19f0.png
uniswap4,uniswap-v4,https://app.uniswap.org,https://static.debank.com/image/project/logo_url/uniswap3/87a541b3b83b041c8d12119e5a0d19f0.png
upshift,upshift,https://upshift.finance/,https://static.debank.com/image/project/logo_url/avax_upshift/814d7cd554a3167905f8af0f9ea364ef.png
usualmoney,usual,https://usual.money,https://static.debank.com/image/project/logo_url/usualmoney/0d3b322b4769c43d1426cc258e6f41b3.png
velodrome2,velodrome-v2,https://velodrome.finance/,https://static.debank.com/image/project/logo_url/op_velodrome/91c9c0f782ba8b2faf88e29b31e724fc.png
venus,venus-core-pool,https://app.venus.io,https://static.debank.com/image/project/logo_url/bsc_venus/07de2297c7aec45b2d52d9e75754789f.png
yearn2,yearn-finance,https://yearn.finance,https://static.debank.com/image/project/logo_url/yearn2/b0f88529a907964dbbf154337906db19.png
zerolend,zerolend,https://app.zerolend.xyz,https://static.debank.com/image/user/official_avatar/783402ca7d68b0617db66f3207e490b3_thumbnail.jpeg
zircuitcom,zircuit,https://stake.zircuit.com/,https://static.debank.com/image/project/logo_url/zircuit/9bce495f5b33502669985197e609dfc2.png
